Name,Manufacturer,Brand,Condition,Price,Warranty_type,Warranty_time,Architecture,Max_resolution,Base_clock,Boost_clock,Memory_clock,Memory_size,Memory_type,Bus_width,Bandwidth,Cores,Length,Width,Height,Bus_interface,TDP,OpenGL,DirectX
MSI GTX 1050 2GT OC,Msi,NVIDIA,Đã qua sử dụng,1300000,Người bán bảo hành,1,Pascal,7680x4320,1405,1752.0,1752,2.0,GDDR5,128,112.1,640,215.0,112.0,38.0,PCIe 3.0 x16,75,4.6,12
MSI GTX 1050 Ti OC,Msi,NVIDIA,Đã qua sử dụng,1800000,Người bán bảo hành,3,Pascal,2560×1600,1341,1455.0,1752,4.0,GDDR5,128,112.1,768,215.0,112.0,38.0,PCIe 3.0 x16,75,4.6,12
VGA Colorful GT1030,Colorful,NVIDIA,Đã qua sử dụng,999000,Người bán bảo hành,1,Pascal,1920x1080,1228,1468.0,1502,2.0,GDDR5,64,48.06,384,177.0,94.0,35.0,PCIe 3.0 x4,30,4.6,12
VGA Gigabyte GT1030,Gigabyte,NVIDIA,Đã qua sử dụng,1100000,Người bán bảo hành,1,Pascal,4096x2160,1290,1544.0,1502,2.0,GDDR5,64,48.06,384,167.7,111.2,26.8,PCIe 3.0 x4,30,4.6,12
GIGABYTE GTX 1050 Ti OC,Gigabyte,NVIDIA,Đã qua sử dụng,1500000,Người bán bảo hành,1,Pascal,7680x4320,1316,1430.0,1752,4.0,GDDR5,128,112.1,768,191.0,111.0,37.0,PCIe 3.0 x16,75,4.6,12
GIGABYTE RTX 3070 Ti GAMING OC,Gigabyte,NVIDIA,Đã qua sử dụng,7300000,Người bán bảo hành,3,Ampere,7680x4320,1575,1830.0,1188,8.0,GDDR6X,256,608.3,6144,320.0,129.0,55.0,PCIe 4.0 x16,290,4.6,12 Ultimate
ZOTAC RTX 2060 Twin Fan,Nvidia,NVIDIA,Đã qua sử dụng,3690000,Bảo hành hãng,11,Turing,7680x4320,1365,1680.0,1750,6.0,GDDR6,192,336.0,1920,210.0,119.0,41.0,PCIe 3.0 x16,160,4.6,12 Ultimate
PowerColor PCS+ R9 270X,Powercolor,NVIDIA,Đã qua sử dụng,600000,Người bán bảo hành,3,GCN 1.0,4096x2160,1060,1100.0,1425,2.0,GDDR5,256,182.4,1280,240.0,111.0,37.0,PCIe 3.0 x16,180,4.6,12
Asus GTX 750Ti,Asus,NVIDIA,Đã qua sử dụng,850000,Không có bảo hành,0,Maxwell,2560x1600,1072,1150.0,1350,2.0,GDDR5,128,86.4,640,218.0,115.0,39.0,PCIe 3.0 x16,60,4.6,12
Gigabyte RTX 2060,Gigabyte,NVIDIA,Đã qua sử dụng,3690000,Bảo hành hãng,16,Turing,7680x4320,1365,1680.0,1750,6.0,GDDR6,192,336.0,1920,226.0,122.0,41.0,PCIe 3.0 x16,160,4.6,12 Ultimate
Colorful Tomahawk GTX 1650 GDDR6,Colorful,NVIDIA,Đã qua sử dụng,1950000,Bảo hành hãng,9,Turing,7680x4320,1410,1710.0,1500,4.0,GDDR6,128,192.0,896,232.0,127.0,39.0,PCIe 3.0 x16,75,4.6,12
Colorful RTX 3060 NB,Colorful,NVIDIA,Đã qua sử dụng,5890000,Bảo hành hãng,11,Ampere,7680x4320,1320,1777.0,1875,12.0,GDDR6,192,360.0,3584,253.0,133.0,41.0,PCIe 4.0 x16,170,4.6,12 Ultimate
NVIDIA Quadro K4200,Nvidia,NVIDIA,Đã qua sử dụng,2200000,Bảo hành hãng,12,Kepler,3840x2160,771,784.0,1350,4.0,GDDR5,256,172.8,1344,241.0,111.0,37.0,PCIe 2.0 x16,108,4.6,12
ZOTAC GTX 750 Ti,Zotac,NVIDIA,Đã qua sử dụng,950000,Người bán bảo hành,3,Maxwell,4096x2160,1033,1110.0,1350,2.0,GDDR5,128,86.4,640,144.78,111.15,37.0,PCIe 3.0 x16,60,4.6,12
ZOTAC GTX 1660 SUPER Twin Fan,Zotac,NVIDIA,Đã qua sử dụng,2990000,Bảo hành hãng,18,Turing,7680x4320,1530,1785.0,1750,6.0,GDDR6,192,336.0,1408,173.0,111.0,35.0,PCIe 3.0 x16,125,4.6,12
ZOTAC RTX 3060 Twin Edge OC,Zotac,NVIDIA,Đã qua sử dụng,6000000,Bảo hành hãng,35,Ampere,7680x4320,1329,1807.0,1875,12.0,GDDR6,192,360.0,3584,224.0,116.0,39.0,PCIe 4.0 x16,170,4.6,12 Ultimate
Intel ARC 750 Limited Edition 8GB GDDR6,Intel,Intel,Đã qua sử dụng,5150000,Bảo hành hãng,30,Generation 12.7,7680x4320,2050,2400.0,2000,8.0,GDDR6,256,512.0,3584,279.9,111.16,42.0,PCIe 4.0 x16,225,4.6,12 Ultimate
